FirstName,LastName,GameDate,Team,Opponent,Minutes,Seconds,FieldGoals,FieldGoalsAttempted,ThreeFieldGoals,ThreeFieldGoalsAttempted,FreeThrows,FreeThrowsAttempted,OffensiveRebounds,DefensiveRebounds,Assists,Steals,Blocks,Turnovers,Fouls,PlusMinus
Delon,Wright,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),TOR,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared,Sullinger,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),TOR,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred,VanVleet,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),TOR,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakob,Poeltl,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),TOR,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno,Caboclo,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),TOR,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norman,Powell,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),TOR,CLE,4,30,0,0,0,0,0,0,0,1,0,0,0,0,1,1
Lucas,Nogueira,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),TOR,CLE,14,41,2,2,0,0,2,3,1,2,0,1,1,1,0,8
Terrence,Ross,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),TOR,CLE,22,29,4,9,4,7,2,2,1,0,1,0,4,0,4,11
Patrick,Patterson,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),TOR,CLE,29,47,3,12,3,7,3,4,3,6,0,0,0,2,3,17
Cory,Joseph,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),TOR,CLE,12,42,3,4,1,1,0,0,0,0,2,1,0,0,3,1
Kyle,Lowry,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),TOR,CLE,40,16,7,14,4,9,6,7,1,2,9,1,0,2,2,-4
DeMar,DeRozan,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),TOR,CLE,38,32,12,23,0,2,7,7,0,4,5,3,0,1,3,-4
Jonas,Valanciunas,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),TOR,CLE,25,21,1,8,0,0,2,2,3,7,1,0,0,0,1,-15
Pascal,Siakam,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),TOR,CLE,18,13,3,6,0,0,0,0,1,1,1,1,0,0,1,-20
DeMarre,Carroll,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),TOR,CLE,33,29,3,10,1,6,1,2,0,0,3,1,0,1,4,-10
Mo,Williams,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),CLE,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kay,Felder,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),CLE,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,McRae,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),CLE,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,Jones,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),CLE,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris,Andersen,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),CLE,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike,Dunleavy,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),CLE,TOR,7,18,0,2,0,0,0,0,0,0,1,0,0,0,0,1
Channing,Frye,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),CLE,TOR,19,4,3,7,2,5,2,2,1,4,2,0,0,1,1,-3
DeAndre,Liggins,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),CLE,TOR,21,6,1,2,1,1,2,4,2,3,1,0,0,1,3,11
Iman,Shumpert,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),CLE,TOR,20,28,1,1,0,0,0,0,0,0,1,0,0,0,5,-12
Richard,Jefferson,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),CLE,TOR,16,27,2,3,1,1,0,0,0,0,1,1,1,1,3,-3
Kyrie,Irving,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),CLE,TOR,36,53,9,18,2,6,4,4,1,1,7,0,0,6,4,1
JR,Smith,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),CLE,TOR,10,16,1,2,0,1,0,0,0,0,0,1,0,1,0,5
Tristan,Thompson,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),CLE,TOR,28,56,3,5,0,0,0,2,4,10,1,0,2,1,1,6
Kevin,Love,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),CLE,TOR,37,32,8,18,6,11,6,6,2,12,0,0,0,2,2,1
LeBron,James,Mon Dec 05 2016 00:00:00 GMT+0000 (UTC),CLE,TOR,42,1,12,26,2,7,8,9,3,5,7,2,0,1,2,8
Delon,Wright,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),TOR,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared,Sullinger,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),TOR,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakob,Poeltl,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),TOR,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno,Caboclo,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),TOR,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred,VanVleet,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),TOR,MEM,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,4
Norman,Powell,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),TOR,MEM,3,55,1,1,1,1,0,0,0,0,1,0,0,0,2,3
Patrick,Patterson,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),TOR,MEM,30,7,5,10,4,6,0,0,3,10,0,1,0,1,1,17
Lucas,Nogueira,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),TOR,MEM,17,48,2,3,0,0,0,0,1,1,2,3,1,0,5,10
Cory,Joseph,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),TOR,MEM,27,31,4,8,1,3,7,8,2,6,3,0,0,1,3,16
Terrence,Ross,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),TOR,MEM,17,4,1,6,1,5,0,0,0,1,0,0,0,0,1,0
Kyle,Lowry,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),TOR,MEM,37,8,8,13,4,7,9,10,0,3,8,2,0,2,4,1
DeMar,DeRozan,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),TOR,MEM,35,30,6,9,2,3,10,11,1,8,6,0,0,7,2,16
Jonas,Valanciunas,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),TOR,MEM,22,52,3,6,0,0,0,0,1,3,0,1,1,4,2,-4
Pascal,Siakam,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),TOR,MEM,18,22,2,2,0,0,0,0,2,0,2,0,1,3,1,0
DeMarre,Carroll,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),TOR,MEM,28,36,6,11,3,7,2,4,0,0,1,0,0,0,4,12
Brandan,Wright,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),MEM,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandler,Parsons,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),MEM,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach,Randolph,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),MEM,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,Ennis,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),MEM,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike,Conley,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),MEM,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vince,Carter,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),MEM,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy,Daniels,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),MEM,TOR,21,16,6,12,4,8,3,3,1,0,1,1,0,1,0,-12
Deyonta,Davis,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),MEM,TOR,10,11,1,3,0,0,0,0,1,2,0,0,0,1,4,-8
Jarell,Martin,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),MEM,TOR,23,50,1,5,1,2,2,2,0,4,1,0,0,1,2,-10
Wade,Baldwin,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),MEM,TOR,23,58,1,6,0,1,0,0,0,3,2,0,0,3,4,-3
Andrew,Harrison,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),MEM,TOR,35,11,7,12,4,5,3,4,0,2,4,3,0,2,4,-14
Troy,Williams,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),MEM,TOR,27,45,4,10,0,4,2,3,0,0,2,3,0,3,4,-1
Marc,Gasol,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),MEM,TOR,34,33,7,14,2,4,2,2,3,5,3,0,0,0,2,-2
JaMychal,Green,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),MEM,TOR,33,56,5,11,0,2,6,7,3,2,1,5,1,1,1,-11
Tony,Allen,Wed Nov 30 2016 00:00:00 GMT+0000 (UTC),MEM,TOR,29,20,4,8,0,1,4,5,4,0,2,1,0,3,4,-14
Dirk,Nowitzki,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),DAL,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.J.,Barea,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),DAL,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seth,Curry,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),DAL,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew,Bogut,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),DAL,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ,Hammons,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),DAL,SAC,10,47,0,2,0,0,0,2,0,5,0,0,2,0,1,-10
Nicolas,Brussino,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),DAL,SAC,12,0,1,4,0,3,1,1,0,1,1,1,0,0,1,-10
Justin,Anderson,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),DAL,SAC,15,31,3,8,0,2,7,8,2,1,0,1,0,2,0,-22
Dwight,Powell,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),DAL,SAC,24,42,3,7,0,0,0,0,2,3,5,2,1,0,3,-19
Devin,Harris,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),DAL,SAC,17,6,1,3,0,2,1,2,0,4,1,0,0,1,1,-8
Jonathan,Gibson,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),DAL,SAC,27,43,3,12,1,5,0,0,0,2,0,1,0,1,2,-19
Deron,Williams,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),DAL,SAC,31,47,6,8,3,5,5,5,0,2,6,0,0,4,2,-9
Wesley,Matthews,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),DAL,SAC,33,26,6,10,4,6,0,0,0,4,1,1,1,1,1,-20
Salah,Mejri,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),DAL,SAC,11,15,1,3,0,0,0,0,3,4,0,0,0,1,4,-6
Harrison,Barnes,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),DAL,SAC,32,21,5,16,0,4,1,2,2,2,1,0,0,6,3,-6
Dorian,Finney-Smith,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),DAL,SAC,23,22,3,5,2,3,0,0,0,3,2,1,1,4,4,-26
Malachi,Richardson,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),SAC,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgios,Papagiannis,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),SAC,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skal,Labissiere,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),SAC,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arron,Afflalo,Wed Dec 07 2016 00:00:00 GMT+0000 (UTC),SAC,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
